アイヌ系	アイヌ、アイヌ民族
ノビ	空き巣
ハーフ	混血、混血人
パーマ屋	美容院
バカチョンカメラ	オートマチックカメラ、全自動カメラ
馬鹿チョンカメラ	オートマチックカメラ、全自動カメラ
馬鹿でもチョンでも	チョンは朝鮮人に対する蔑称
バカでもチョンでも	チョンは朝鮮人に対する蔑称
白痴	精神障害者
パクる	逮捕する
馬喰	家畜仲買人
端女	召使いの女の意
肌色	ペールオレンジ、うすだいだい
バタ屋	廃品回収業者、資源交換業
発狂	とり乱す、精神を病むはOK？
馬丁	馬手、厩務員
パン助	娼婦
番多	どうしても必要な場合「番小屋の○○」というようにする
半島人	使わない
飯場	韓国人、朝鮮人
引かれ者	刑場に引かれていく罪人の意？
跛	足の悪い人、足の不自由な人
非人	使わない
ヒモ	関係ある男
百姓	農民、農家の人、お百姓さん
日雇い	自由労働者
貧農	貧しい農民
醜男	器量の悪い男
ブ男	器量の悪い男
不可触民	ハリジャン
不具	身体障害者
父兄	父母、保護者
不治の病	治りにくい病気、難病（これは特定の病気にしか使わない）
ブス	使わない
ブタ箱	留置場
ブツ	盗品
踏切番	踏切警手、踏切保安系
ブラインドタッチ	タッチタイピング
部落	集落、地区
浮浪児	ホームレスの子ども
浮浪者	ホームレス
ペイ患	麻薬患者
ペイ中	麻薬中毒
坊主	僧侶、お坊さん
北鮮	朝鮮民主主義人民共和国、北朝鮮
ポコペン	中国人
保線工夫	保線区員、保線作業員
ポッポー屋	鉄道員
保母	保育士
保父	保育士
ポリ公	警察官
本腰を入れ	卑俗と感じる人あり
ポン引き	客引き
ほんぼし	真犯人
まえつき	前歴つき
魔女っ子	魔法少女
股に掛ける	卑俗に聞こえるから？
町医者	開業医
マンコ	女性器
満州	中国東北部
未開人	原住民
未開発国	発展途上国、開発途上国
三つ口	口唇裂はOK？
身分	使いに注意
未亡人	故○○氏の夫人
身元調査	なるべく使わない
婿をとる	なるべく使わない
娘を片付ける	なるべく使わない
名門校	野球放送などで「名門○○校」などという場合はあまり抵抗はないがなるべく使わない
妾	愛人
盲	視力障害者、目の不自由な人
盲縞	なるべく使わない
盲判を押す	ろくに見ないで判を押す
盲蛇に怖じず	なるべく使わない
盲滅法	やみくも
めっかち	片方の目しか見えない人のこと（この場合片方の目や隻眼はOK?）
盲愛	むやみに可愛がる
もう愛	ダウン症
蒙古症	ダウン症
盲人	目の不自由な人、視覚障害者
盲目	分別に欠ける、理性がない
文盲	字の読めない人、非識字者
ヤー様	やくざ
八百屋	青果業、青果商、八百屋さん
役不足	力不足
やさぐれ	愚連帯
ヤバい	危ない、危険だ
ヤブ医者	なるべく使わない。診療能力の劣った下手な医者の意
藪医者	なるべく使わない。診療能力の劣った下手な医者の意
藪睨み	斜視、見当違い
ヤンキー	アメリカ人、不良行為少年、不良少年
郵便夫	郵便集配人、郵便配達人
郵便屋	郵便配達員、郵便屋さん
養護	心身障害者の意として使わない？
養老院	老人ホーム、老人養護施設
寄せ場	使わない「人足寄せ場」の意
ヨツ	四本指のジェスチャーを行うことや、四本指のキャラクターを描くことも要注意　（被差別部落民の意から）
四つ足	被差別部落民の意から
四つ辻	十字路
嫁にやる	なるべく使わない
寄り目	斜視
寄目	斜視
癩病	ハンセン病
らい病	ハンセン病
ルンペン	浮浪性の事、ルンペンプロも使わない
令嬢	娘（不必要な所に使うと逆差別になる）
レントゲン技師	診療放射線技師、診療エックス線技師
老婆	老婦人、老女
労務者	労働者
露助	ロシア人
ロ助	ロシア人
ロンパリ	斜視
